,precision,recall,f1-score,support
0,0.9997322145853789,1.0,0.9998660893630317,11200.0
1,1.0,0.9997321428571428,0.9998660534893066,11200.0
accuracy,0.9998660714285714,0.9998660714285714,0.9998660714285714,0.9998660714285714
macro avg,0.9998661072926894,0.9998660714285714,0.9998660714261691,22400.0
weighted avg,0.9998661072926893,0.9998660714285714,0.999866071426169,22400.0
