,precision,recall,f1-score,support
0,0.99308142629058,0.9996428571428572,0.9963513393254427,5600.0
1,0.9996404817544491,0.9930357142857142,0.9963271521992296,5600.0
accuracy,0.9963392857142858,0.9963392857142858,0.9963392857142858,0.9963392857142858
macro avg,0.9963609540225146,0.9963392857142856,0.9963392457623361,11200.0
weighted avg,0.9963609540225145,0.9963392857142858,0.996339245762336,11200.0
