,precision,recall,f1-score,support
0,0.9996964231504134,0.9996785714285714,0.9996874972097965,56000.0
1,0.9996785771682648,0.9996964285714286,0.9996875027901537,56000.0
accuracy,0.9996875,0.9996875,0.9996875,0.9996875
macro avg,0.999687500159339,0.9996875000000001,0.9996874999999752,112000.0
weighted avg,0.999687500159339,0.9996875,0.9996874999999751,112000.0
