,precision,recall,f1-score,support
0,0.9936334289813487,0.989375,0.9914996420901934,11200.0
1,0.9894203413940256,0.9936607142857142,0.991535994297933,11200.0
accuracy,0.9915178571428571,0.9915178571428571,0.9915178571428571,0.9915178571428571
macro avg,0.9915268851876871,0.9915178571428571,0.9915178181940631,22400.0
weighted avg,0.9915268851876871,0.9915178571428571,0.9915178181940633,22400.0
