,precision,recall,f1-score,support
0,0.9998571428571429,0.9998571428571429,0.9998571428571429,28000.0
1,0.9998571428571429,0.9998571428571429,0.9998571428571429,28000.0
accuracy,0.9998571428571429,0.9998571428571429,0.9998571428571429,0.9998571428571429
macro avg,0.9998571428571429,0.9998571428571429,0.9998571428571429,56000.0
weighted avg,0.9998571428571429,0.9998571428571429,0.9998571428571429,56000.0
