,precision,recall,f1-score,support
0,0.9925040157058719,0.9930357142857142,0.9927697938052308,5600.0
1,0.9930319814186171,0.9925,0.9927659194427079,5600.0
accuracy,0.9927678571428571,0.9927678571428571,0.9927678571428571,0.9927678571428571
macro avg,0.9927679985622445,0.9927678571428571,0.9927678566239693,11200.0
weighted avg,0.9927679985622444,0.9927678571428571,0.9927678566239693,11200.0
